Date,Open,High,Low,Close,Adj Close,Volume
,PTPI,PTPI,PTPI,PTPI,PTPI,PTPI
2021-10-26,530.0,532.5,457.5,477.5,477.5,1115
2021-10-27,467.5,493.75,438.5,440.0,440.0,900
2021-10-28,445.0,457.5,415.0,427.5,427.5,623
2021-10-29,440.0,447.5,425.0,435.0,435.0,250
2021-11-01,425.0,440.0,425.0,432.5,432.5,260
2021-11-02,425.0,462.5,425.0,437.5,437.5,325
2021-11-03,507.5,955.0,490.0,720.0,720.0,1119766
2021-11-04,642.5,712.5,587.5,675.0,675.0,42206
2021-11-05,705.0,762.5,602.5,617.5,617.5,20112
2021-11-08,597.5,625.0,545.0,615.0,615.0,15251
2021-11-09,580.0,595.0,532.5,545.0,545.0,4418
2021-11-10,537.5,550.0,510.0,535.0,535.0,3386
2021-11-11,527.5,550.0,512.5,530.0,530.0,2180
2021-11-12,522.5,537.5,510.75,535.0,535.0,2285
2021-11-15,545.0,562.5,527.5,545.0,545.0,2233
2021-11-16,485.0,485.0,420.0,425.0,425.0,3907
2021-11-17,420.0,445.0,415.0,425.0,425.0,1257
2021-11-18,425.0,427.5,400.0,407.5,407.5,1401
2021-11-19,400.0,410.0,365.0,365.0,365.0,1538
2021-11-22,357.5,365.0,297.5,332.5,332.5,5171
2021-11-23,556.25,742.5,482.5,585.0,585.0,366780
2021-11-24,442.5,462.5,402.5,457.5,457.5,24308
2021-11-26,450.25,582.5,450.0,522.5,522.5,27838
2021-11-29,842.5,1300.0,800.0,1000.0,1000.0,961705
2021-11-30,747.5,917.5,602.5,715.0,715.0,132496
2021-12-01,675.0,685.75,565.0,585.0,585.0,27116
2021-12-02,585.0,720.0,550.0,647.5,647.5,50833
2021-12-03,640.0,860.0,602.5,620.0,620.0,152570
2021-12-06,567.5,582.5,520.0,547.5,547.5,18590
2021-12-07,560.0,625.0,550.0,585.0,585.0,11264
2021-12-08,620.0,655.0,567.5,630.0,630.0,23140
2021-12-09,620.0,632.5,580.0,590.0,590.0,7254
2021-12-10,580.0,825.0,580.0,675.0,675.0,207304
2021-12-13,815.0,1095.0,800.0,995.0,995.0,446136
2021-12-14,927.5,950.0,640.0,687.5,687.5,72292
2021-12-15,672.5,787.5,652.5,717.5,717.5,40906
2021-12-16,790.25,862.5,760.0,770.0,770.0,76834
2021-12-17,782.5,820.0,707.5,797.5,797.5,26388
2021-12-20,780.0,970.0,737.5,850.0,850.0,73378
2021-12-21,897.5,1297.5,897.5,1022.5,1022.5,304729
2021-12-22,782.5,946.5,777.5,835.0,835.0,50543
2021-12-23,805.0,910.0,800.0,867.5,867.5,28052
2021-12-27,925.0,1022.5,860.0,890.0,890.0,58274
2021-12-28,912.5,1020.0,895.0,972.5,972.5,53442
2021-12-29,982.5,1012.5,875.0,910.0,910.0,26358
2021-12-30,896.25,922.5,835.0,905.0,905.0,18408
2021-12-31,897.5,897.5,780.0,832.5,832.5,16966
2022-01-03,905.0,905.0,832.5,840.0,840.0,15981
2022-01-04,842.5,842.5,727.5,737.5,737.5,15379
